season,player_id,old_player_id,team_abv,team,player_number,player_first_name,player_last_name,player_short_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,birth_place,birth_nation,primary_nation,secondary_nation,birthdate,previous_team,is_previous_contract,all_star,updated,awards,player_headshot_url
2024,00c99f9c-9d65-4d3d-a198-04b8661bd446,,VIK,,44,Leon,Huber,L. Huber,LB,1.81,71.26,100,220.46,"Braunau, Austria",,AUSTRIAN,,2001-06-17,Kirchdorf Wildcats,True,,16.05.2023,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F00c99f9c-9d65-4d3d-a198-04b8661bd446?alt=media&token=7c548be8-1cd8-4d63-832c-2e37aa944eb5
2024,053bb4a0-9991-11ed-bf80-6f33335c6375,,VIK,,24,Karri,Pajarinen,K. Pajarinen,RB,1.78,70.08,94,207.23,"Espoo, Finland",,FINNISH,,1998-10-05,Potsdam Royals,True,,29.03.2024,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F053bb4a0-9991-11ed-bf80-6f33335c6375?alt=media&token=a872dd80-5bfb-46bb-bbde-275fa7ef98dc
2024,0b2511d0-2d26-11ee-8706-e741b00d098c,,VIK,,97,Bernhard,Mosor,B. Mosor,DT,1.85,72.83,120,264.55,"Korneuburg, Austria",,AUSTRIAN,,1989-06-07,Danube Dragons,True,,29.03.2024,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F0b2511d0-2d26-11ee-8706-e741b00d098c?alt=media&token=35b91045-9f82-4c97-a41c-300930fd7046
2024,0db39b18-e717-4928-8051-e48b61b7804a,,VIK,,23,Benjamin,Straight,B. Straight,SS/P,1.83,72.05,92,202.83,"Allegheny, USA",AUSTRIAN,AUSTRIAN,,1999-04-23,Vienna Knights,True,2nd Team Allstar 2022,29.03.2024,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F0db39b18-e717-4928-8051-e48b61b7804a?alt=media&token=a2e2ab44-eeba-45f7-b472-abfe7749f548
2024,0e582a80-5627-49b8-9800-a1a05d0d23d5,,VIK,,22,Christoph,Kellner,C. Kellner,FS,1.7,66.93,75,165.35,"Vienna, Austria",AUSTRIAN,AUSTRIAN,,1996-01-10,none,True,,16.05.2023,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F0e582a80-5627-49b8-9800-a1a05d0d23d5?alt=media&token=90ab12ed-3ffc-4557-8152-a6b41b8bc8f0
2024,111c7e50-ba50-48be-b01d-89274ec64706,,VIK,,47,Daniel,Schönet,D. Schoenet,TE/LB,1.84,72.44,100,220.46,Graz,AUSTRIAN,AUSTRIAN,GERMAN,1988-12-05,Bern Grizzlies,True,,26.07.2023,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F111c7e50-ba50-48be-b01d-89274ec64706?alt=media&token=403983d1-e744-4605-a4a4-c1a24077dea1
2024,13129510-c5ed-11ee-9df4-7f8c39740868,,VIK,,20,Benjamin,Liedlbauer,B. Liedlbauer,RB,,,,,"Haiderhofen, Austria",,AUSTRIAN,,2001-03-04,Amstetten Thunder,True,,,,
2024,13d61dc8-2194-496d-a3c6-a67240a0e4b0,,VIK,,36,Fabio,Tartarotti,F. Tartarotti,FS,1.85,72.83,85,187.39,"Vienna, Austria",AUSTRIAN,AUSTRIAN,,1998-12-18,Rangers Mödling,True,,16.05.2023,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F13d61dc8-2194-496d-a3c6-a67240a0e4b0?alt=media&token=aaf54cdb-8d20-4f76-92c2-0572ac01dc99
2024,20cde205-5d5b-4ffa-96ea-3cc00a525e73,,VIK,,4,Jordan,Bouah,J. Bouah,WR,1.79,70.47,89,196.21,Rome,ITALIAN,ITALIAN,,1995-05-17,Braunschweig Lions,True,2nd Team Allstar 2022,29.03.2024,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F20cde205-5d5b-4ffa-96ea-3cc00a525e73?alt=media&token=b94cf8aa-d07d-404c-af6f-f4a179a7dd5a
2024,344f4d25-a58d-41e1-b203-cedd602418f8,,VIK,,61,Aleksandar,Milanovic,A. Milanovic,OT,2.0,78.74,126,277.78,Vienna,AUSTRIAN,AUSTRIAN,,1991-11-11,Banja Lukas Rebels,True,"['2nd Team Allstar 2022','1st Team Allstar 2023']",29.03.2024,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F344f4d25-a58d-41e1-b203-cedd602418f8?alt=media&token=c99e8120-f444-4734-9564-c02371a9b71e
