season,player_id,old_player_id,team_abv,team,player_number,player_first_name,player_last_name,player_short_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,birth_place,birth_nation,primary_nation,secondary_nation,birthdate,previous_team,is_previous_contract,all_star,updated,awards,player_headshot_url
2023,014146f0-24e5-11ee-a936-55425700daa2,,MUC,,95,Leon,Schmid,L. Schmid,DE,,,,,München,,GERMAN,,1998-01-20,Bryant University,True,,18.07.2023,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F014146f0-24e5-11ee-a936-55425700daa2?alt=media&token=81e1e44a-e98d-4599-ae6e-8b0ba7a86d36
2023,064490b0-ab7a-11ed-a6da-49c49306a6ce,,MUC,,51,Leon,Nieper,L. Nieper,ILB,1.81,71.26,103,227.08,,,GERMAN,,1994-03-11,,,,,,
2023,10a34da0-2abc-11ee-b956-6f33f10e0e75,,MUC,,35,Exree,Loe,E. Loe,LB,,,,,PENNSYLVANIA,,AMERICAN,,1998-01-25,Albershausen Crusaders,True,,28.07.2023,,
2023,163470d8-1a4c-4c7e-a29c-c7a17d5cdda6,,MUC,,37,Gabriel,Kalus,G. Kalus,CB,1.77,69.69,80,176.37,Stuttgart/Germany,GERMAN,GERMAN,AUSTRIAN,1991-02-05,Stuttgart Surge,True,,2.06.2023,,
2023,1735afd0-ae04-11ed-9682-ede930de22b1,,MUC,,1,Sixten,Dragan,S. Dragan,WR,1.84,72.44,88,194.01,Straubing,,GERMAN,,1999-06-28,,,,,,
2023,191242d0-ad66-11ed-be06-8fac2659e815,,MUC,,50,Tobias,Vorreiter,T. Vorreiter,OG/OT,1.9,74.8,130,286.6,,,GERMAN,,,,,,,,
2023,1a9f3060-04c6-11ee-98ec-f36cd62c5270,,MUC,,72,Maxime,Roussel,M. Roussel,OT,,,,,Pestuis,,FRENCH,,1999-06-29,Stuttgart Surge,True,,25.07.2023,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F1a9f3060-04c6-11ee-98ec-f36cd62c5270?alt=media&token=9f0f8852-ac40-4317-a620-7b4429bbb1fe
2023,1bfb6142-36d8-49c0-a80e-307b64e9bad6,,MUC,,58,Burak,Efendioglu,B. Efendioglu,LB,1.83,72.05,100,220.46,Germany,GERMAN,GERMAN,AUSTRIAN,1999-01-31,Leipzig Kings,True,,17.07.2023,,https://firebasestorage.googleapis.com/v0/b/leaguetool-dfc3d.appspot.com/o/Images%2FPlayer%2F1bfb6142-36d8-49c0-a80e-307b64e9bad6?alt=media&token=b7869e24-33d8-4075-9e6b-bb04571730f3
2023,1e8c0b70-ad65-11ed-a30f-ad0477bd6f3d,,MUC,,81,Sebastian,Kurrer,S. Kurrer,TE/WR,1.96,77.17,110,242.51,Nuremberg,,GERMAN,,1993-12-24,,,,15.02.2023,,
2023,257c4f00-fba6-11ed-bdf4-079be7cd7975,,MUC,,98,Etuale,Lui,E. Lui,DT,1.93,75.98,152,335.1,Otahuhu,,KIWIS,,2001-01-24,N/A,True,,26.05.2023,,
