team_id,season,confrence_id,division_id,rank,team_abv,team_name,overall_wins,overall_losses,overall_win_pct,points_for,points_against,point_diff,confrence_wins,confrence_losses,confrence_win_pct,confrence_points_for,confrence_points_against,confrence_point_diff,home_wins,home_losses,home_win_pct,away_wins,away_losses,away_win_pct,neutral_wins,neutral_losses,neutral_win_pct,streak
637d28a05a83d2285e2529d3,2023,640badea8893fe72d8c9b272,,1,VIK,Vienna Vikings,3,0,1.0,143,59,84,3,0,1.0,143,59,84,2,0,1.0,1,0,1.0,0,0,,Win 3
637d28a05a83d2285e2529cd,2023,640badea8893fe72d8c9b272,,2,WPA,Panthers Wroclaw,3,1,0.75,155,100,55,2,1,0.667,121,75,46,2,0,1.0,1,1,0.5,0,0,,Win 1
637d28a05a83d2285e2529c3,2023,640badea8893fe72d8c9b272,,3,BTH,Berlin Thunder,2,1,0.667,96,57,39,2,1,0.667,96,57,39,1,1,0.5,1,0,1.0,0,0,,Win 1
637d28a05a83d2285e2529ca,2023,640badea8893fe72d8c9b272,,4,LKG,Leipzig Kings,2,2,0.5,85,117,-32,2,2,0.5,85,117,-32,1,1,0.5,1,1,0.5,0,0,,Loss 1
637d28a05a83d2285e2529cf,2023,640badea8893fe72d8c9b272,,5,PRG,Prague Lions,0,3,0.0,50,110,-60,0,2,0.0,36,87,-51,0,2,0.0,0,1,0.0,0,0,,Loss 3
637d28a05a83d2285e2529c5,2023,640badea8893fe72d8c9b272,,6,ENT,Fehervar Enthroners,0,4,0.0,73,194,-121,0,3,0.0,60,146,-86,0,2,0.0,0,2,0.0,0,0,,Loss 4
637d28a05a83d2285e2529d1,2023,640badea8893fe72d8c9b273,,1,RHF,Rhein Fire,3,0,1.0,118,59,59,3,0,1.0,118,59,59,2,0,1.0,1,0,1.0,0,0,,Win 3
637d28a05a83d2285e2529c6,2023,640badea8893fe72d8c9b273,,2,FGY,Frankfurt Galaxy,2,1,0.667,87,59,28,1,1,0.5,39,46,-7,1,0,1.0,1,1,0.5,0,0,,Win 2
637d28a05a83d2285e2529c7,2023,640badea8893fe72d8c9b273,,3,HSD,Hamburg Sea Devils,1,2,0.333,81,78,3,1,1,0.5,56,44,12,0,1,0.0,1,1,0.5,0,0,,Win 1
637d28a05a83d2285e2529c4,2023,640badea8893fe72d8c9b273,,4,CCE,Cologne Centurions,1,2,0.333,57,72,-15,0,2,0.0,34,58,-24,0,2,0.0,1,0,1.0,0,0,,Loss 1
637d28a05a83d2285e2529ce,2023,640badea8893fe72d8c9b273,,5,PAR,Paris Musketeers,1,3,0.25,85,134,-49,1,2,0.333,65,105,-40,0,1,0.0,1,2,0.3333333333333333,0,0,,Loss 3
637d28a05a83d2285e2529d0,2023,640badea8893fe72d8c9b274,,1,RAI,Raiders Tirol,3,0,1.0,110,58,52,3,0,1.0,110,58,52,1,0,1.0,2,0,1.0,0,0,,Win 3
637d28a05a83d2285e2529d2,2023,640badea8893fe72d8c9b274,,2,SRG,Stuttgart Surge,2,0,1.0,69,46,23,1,0,1.0,40,26,14,1,0,1.0,1,0,1.0,0,0,,Win 2
637d28a05a83d2285e2529c2,2023,640badea8893fe72d8c9b274,,3,BDR,Barcelona Dragons,2,1,0.667,83,79,4,2,1,0.667,83,79,4,1,0,1.0,1,1,0.5,0,0,,Loss 1
637d28a05a83d2285e2529cc,2023,640badea8893fe72d8c9b274,,4,MUC,Munich Ravens,1,1,0.5,77,69,8,1,1,0.5,77,69,8,0,1,0.0,1,0,1.0,0,0,,Win 1
637d28a05a83d2285e2529cb,2023,640badea8893fe72d8c9b274,,5,MIL,Milano Seamen,0,2,0.0,59,81,-22,0,2,0.0,59,81,-22,0,1,0.0,0,1,0.0,0,0,,Loss 2
637d28a05a83d2285e2529c8,2023,640badea8893fe72d8c9b274,,6,HVG,Helvetic Guards,0,3,0.0,34,90,-56,0,3,0.0,34,90,-56,0,2,0.0,0,1,0.0,0,0,,Loss 3
